features,labels
"[0.00708875 0.         0.05513753 0.05275865 0.         0.
 0.         0.         0.00708875 0.0141775  0.         0.16791883
 0.26843587 0.05670999 0.         0.00751875 0.         0.0141775
 0.10805675 0.00792546 0.01754376 0.         0.08506499 0.11576407
 0.10526255 0.00792546 0.11102596 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00708875 0.         0.20801885 0.19790325 0.03544374 0.
 0.00250625 0.         0.00708875 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.22650571 0.00792546 0.01754376 0.         0.00354437 0.
 0.07518753 0.01585092 0.2698543  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00354437 0.         0.01253126 0.0359462  0.18076311 0.03362489
 0.19548759 0.01585092 0.04837756 0.         0.         0.
 0.         0.         0.         0.00250625 0.         0.0126929
 0.32507968 0.01585092 0.14285632 0.01681244 0.04962124 0.0112083
 0.02255626 0.         0.27909614 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.028355   0.         0.00250625 0.         0.         0.
 0.         0.         0.         0.07970176 0.         0.11528755
 0.09991314 0.10278686 0.08638353 0.478694   0.01585092 0.12807932
 0.02126625 0.         0.19799384 0.01681244 0.00354437 0.
 0.0050125  0.         0.04104789 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.13028045 0.         0.02163364
 0.01074984 0.02379579 0.00537492 0.24518128 0.01520257 0.20948039
 0.0135976  0.         0.         0.         0.02039639 0.21668303
 0.16105044 0.         0.0135976  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07731395 0.         0.00721121 0.         0.         0.
 0.         0.         0.         0.06569187 0.         0.03845981
 0.02149969 0.29234831 0.08062382 0.17787662 0.00760129 0.14158194
 0.0135976  0.         0.00721121 0.         0.03399399 0.03762445
 0.06009345 0.         0.03794504 0.0067988  0.         0.04567102
 0.09897495 0.13597596 0.07747527 0.03605607 0.         0.0067988
 0.0744662  0.00760129 0.04807476 0.04299937 0.06798798 0.00760129
 0.03365233 0.01520257 0.0608686  0.08324052 0.00760129 0.12980185
 0.17645022 0.43512309 0.01297621 0.01442243 0.         0.05439038
 0.02039639 0.00760129 0.04807476 0.01835113 0.04079279 0.01074984
 0.0192299  0.         0.05834143 0.0067988  0.         0.06249719
 0.12492738 0.02039639 0.         0.00240374 0.         0.0033994
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10703631 0.00760129 0.36536818
 0.27672935 0.04079279 0.01074984 0.0192299  0.         0.08213722
 0.0033994  0.         0.06009345 0.13790358 0.14277475 0.04522574
 0.03365233 0.         0.0033994  0.0067988  0.         0.05288224
 0.16162964 0.02719519 0.         0.         0.         0.0101982 ]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.16286471 0.04176414 0.08254362 0.03997274 0.07004059 0.11253529
 0.13867329 0.         0.02334686 0.00466937 0.         0.00660349
 0.03564792 0.06070184 0.02214878 0.11225933 0.01044103 0.06373278
 0.17775354 0.01044103 0.03301745 0.03258981 0.10272619 0.14639181
 0.10565584 0.01044103 0.14626602 0.18166518 0.         0.15518201
 0.02520689 0.14475055 0.31060758 0.25423437 0.01044103 0.20185814
 0.00933874 0.01044103 0.0957506  0.03997274 0.04669372 0.
 0.00660349 0.         0.01867749 0.         0.         0.01320698
 0.0295317  0.2241299  0.01044103 0.04622443 0.         0.
 0.1224788  0.02088207 0.08254362 0.07994548 0.02801623 0.
 0.00990523 0.         0.07079832 0.06221731 0.01044103 0.10235409
 0.15809955 0.13074243 0.10209426 0.06933664 0.         0.06612895
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00466937 0.         0.04622443
 0.08859511 0.14941992 0.         0.00330174 0.         0.
 0.01867749 0.         0.00330174 0.         0.08404871 0.03564792
 0.0363192  0.02088207 0.0241046  0.         0.         0.01650872
 0.03691463 0.38288858 0.0295317  0.01320698 0.         0.
 0.00933874 0.         0.19150121 0.07256255 0.10739557 0.10947719
 0.20140644 0.02088207 0.06101923 0.01400812 0.         0.13537154
 0.15809955 0.         0.         0.         0.         0.01867749]",2
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02303683 0.         0.46797365
 0.01902583 0.004011   0.         0.         0.         0.004011
 0.10726779 0.         0.13897399 0.01268389 0.04412098 0.00634194
 0.15315501 0.05381319 0.25015067 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.02070589 0.         0.11061195 0.15746051 0.19653891 0.
 0.         0.         0.008022   0.16694887 0.02690659 0.21271529
 0.         0.01203299 0.         0.0028362  0.         0.01604399
 0.26331846 0.00896886 0.09075852 0.03170972 0.06818697 0.01268389
 0.14748261 0.02690659 0.39454661 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.004011   0.         0.05956028 0.13580775 0.09626395 0.
 0.0028362  0.         0.004011   0.004011   0.         0.03970685
 0.04702053 0.08021996 0.17911326 0.09643093 0.         0.01203299
 0.32755581 0.03587546 0.12762918 0.         0.008022   0.
 0.00567241 0.         0.08021996 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.004011   0.         0.05388787 0.11569382 0.02406599 0.
 0.00567241 0.         0.004011   0.01203299 0.         0.
 0.         0.         0.05336248 0.04537926 0.         0.008022
 0.04607366 0.01793773 0.03970685 0.00896886 0.04010998 0.04330551
 0.04254306 0.         0.01604399 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.23599382 0.0355397  0.09271879
 0.05286307 0.11125687 0.         0.01685796 0.         0.15099147
 0.01589384 0.00888493 0.07024151 0.15966712 0.20661991 0.01256518
 0.01966762 0.         0.04435286 0.00397346 0.         0.01966762
 0.04397814 0.33377062 0.02145011 0.0140483  0.         0.01422951
 0.         0.         0.04495456 0.05914566 0.12715071 0.01256518
 0.01123864 0.         0.         0.27868236 0.00888493 0.09271879
 0.01256518 0.21456684 0.         0.0280966  0.00888493 0.21585644
 0.25059805 0.         0.14891199 0.16747413 0.10728341 0.01256518
 0.02528694 0.00888493 0.22380336 0.06486497 0.         0.09833811
 0.13606117 0.24238105 0.01884777 0.01966762 0.         0.0397346
 0.1069087  0.00888493 0.05619321 0.         0.10330995 0.08795628
 0.07024151 0.         0.080114   0.12511167 0.01776985 0.08990913
 0.10204588 0.15893839 0.09316095 0.03652558 0.         0.05562844
 0.02384076 0.00888493 0.08428981 0.04029789 0.0397346  0.09684121
 0.04776423 0.         0.06191103 0.12307261 0.02665478 0.05900287
 0.01256518 0.02781422 0.         0.00842898 0.         0.04370806
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.08177833 0.00888493 0.00842898 0.         0.04370806 0.18003932
 0.11800574 0.00888493 0.11651994 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",1
"[0.00673242 0.         0.03967117 0.0895684  0.03590624 0.
 0.00158685 0.         0.01346484 0.02280558 0.         0.04443171
 0.07243569 0.15260154 0.03340443 0.01904216 0.00501805 0.00897656
 0.04394282 0.         0.05553964 0.10791867 0.21094918 0.00709659
 0.01428162 0.         0.04394282 0.08600568 0.         0.01586847
 0.         0.03141796 0.02128978 0.03015009 0.00501805 0.09853054
 0.08015415 0.00501805 0.11107927 0.12505136 0.20421676 0.01566294
 0.01269477 0.         0.01570898 0.19700198 0.03512635 0.27293765
 0.20006995 0.21319333 0.03487418 0.08251604 0.         0.15630238
 0.19424112 0.0200722  0.11425297 0.0960562  0.20421676 0.04050103
 0.05553964 0.00501805 0.18772034 0.1620948  0.01505415 0.04919225
 0.02068099 0.08078905 0.03695273 0.03808432 0.00501805 0.16136646
 0.09195066 0.0100361  0.08092919 0.05971226 0.18850778 0.14157527
 0.11107928 0.01505415 0.08224575 0.02150142 0.         0.04443171
 0.11526744 0.29847066 0.07035715 0.05871333 0.00501805 0.0112207
 0.07420917 0.00501805 0.04125802 0.04906737 0.30295894 0.09813474
 0.09203712 0.0100361  0.07514915 0.07066087 0.0100361  0.0238027
 0.02068099 0.04039452 0.0035483  0.01586847 0.         0.06899254
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.03590624 0.02483808 0.00952108 0.         0.00224414
 0.0224414  0.00501805 0.01428162 0.00501805 0.07630077 0.04257957
 0.0238027  0.         0.03402628 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.08915744 0.02157826 0.10690375
 0.03262297 0.0932842  0.02753693 0.01137274 0.         0.01930018
 0.10876097 0.         0.12737467 0.04490176 0.14796803 0.03472968
 0.04549096 0.         0.09993623 0.05490249 0.0143855  0.13192377
 0.01017209 0.0032167  0.         0.00227455 0.         0.02573357
 0.10367493 0.02157826 0.02729457 0.         0.         0.
 0.0045491  0.         0.03725301 0.24160482 0.02877101 0.15012016
 0.07033198 0.10293428 0.11821309 0.16604199 0.00719275 0.14818668
 0.14527333 0.         0.05458915 0.05507385 0.0965009  0.05507385
 0.09325646 0.02877101 0.26816372 0.         0.         0.10690375
 0.19065176 0.10936768 0.         0.0045491  0.         0.0032167
 0.2637691  0.         0.00227455 0.         0.         0.
 0.01819638 0.         0.28276592 0.24438422 0.0143855  0.05458915
 0.02964363 0.06433393 0.03472968 0.07506008 0.0143855  0.21947599
 0.24916691 0.05754201 0.2661221  0.06735265 0.11580107 0.04192243
 0.08415827 0.0143855  0.21491195 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04794709 0.00719275 0.13647286
 0.03262297 0.01286679 0.04490176 0.14102197 0.         0.02116953
 0.         0.         0.02502003 0.00508604 0.         0.
 0.         0.         0.0032167  0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0
"[0.01244189 0.         0.06721497 0.12735268 0.01629537 0.
 0.00192043 0.         0.00814768 0.10471081 0.01821878 0.10562353
 0.08692609 0.17381728 0.12913139 0.07489668 0.         0.06562221
 0.05861211 0.         0.10754395 0.13667785 0.23899876 0.01717683
 0.02496556 0.         0.071054   0.1018103  0.01821878 0.03648813
 0.05257243 0.12493117 0.04472079 0.04224941 0.         0.1115363
 0.05791525 0.         0.05377198 0.08336865 0.06246558 0.01466134
 0.01152257 0.         0.02873726 0.13370419 0.01821878 0.15171379
 0.07833768 0.14665833 0.0733067  0.06337412 0.00607293 0.13010684
 0.2079148  0.01821878 0.14979336 0.12735268 0.17924907 0.02754396
 0.05953326 0.00607293 0.1393921  0.20817094 0.00607293 0.07297626
 0.02576524 0.04345432 0.03435366 0.07681711 0.00607293 0.25837924
 0.01086358 0.         0.03648813 0.08514737 0.07061327 0.05760341
 0.05569241 0.00607293 0.02804041 0.03031557 0.         0.02304513
 0.00858841 0.         0.00607293 0.00576128 0.00607293 0.01086358
 0.14115502 0.01821878 0.07105582 0.0844106  0.19011265 0.09803
 0.08833967 0.01214585 0.11740882 0.22787905 0.01214585 0.05761283
 0.01644006 0.23356699 0.03613237 0.0345677  0.         0.24259611
 0.         0.         0.         0.         0.00543179 0.01288262
 0.00576128 0.         0.         0.         0.         0.
 0.         0.2172716  0.04294207 0.01920428 0.         0.
 0.05974969 0.         0.00576128 0.         0.11949938 0.0601189
 0.03264727 0.         0.07376989 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04412574 0.         0.01064832
 0.0039684  0.03011801 0.03174717 0.35316939 0.02244864 0.14123309
 0.         0.         0.         0.         0.         0.
 0.07276354 0.         0.         0.01400773 0.         0.02307137
 0.04926451 0.06023601 0.01354895 0.02662081 0.         0.00501967
 0.06647755 0.         0.05501634 0.02545414 0.05521635 0.00958055
 0.03017025 0.01122432 0.05748949 0.02007867 0.00561216 0.01774721
 0.02777877 0.34133741 0.15476744 0.11535684 0.         0.07085324
 0.0039684  0.         0.00709888 0.         0.15059004 0.04297149
 0.04791746 0.         0.         0.2883942  0.00561216 0.03371969
 0.02148574 0.01254917 0.01984198 0.12423045 0.03367296 0.41748542
 0.05287711 0.01122432 0.03371969 0.         0.03513768 0.03667846
 0.02484609 0.00561216 0.02007867 0.0380548  0.01122432 0.18457095
 0.31009892 0.23592439 0.02777877 0.01952193 0.         0.04663557
 0.         0.         0.02484609 0.07471865 0.1405507  0.02381037
 0.01242304 0.         0.         0.26217851 0.0280608  0.07986243
 0.04132772 0.07529502 0.01984198 0.05679106 0.01122432 0.21601631
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02483469 0.03064129 0.         0.
 0.         0.         0.         0.01756078 0.         0.22351221
 0.2613953  0.10536467 0.         0.00620867 0.         0.01756078
 0.08667744 0.00981677 0.02793903 0.02082452 0.07024311 0.05146582
 0.04966938 0.00981677 0.04900457 0.00439019 0.         0.18315584
 0.24632133 0.14926661 0.         0.02173035 0.         0.04900457
 0.00439019 0.         0.06208673 0.11681464 0.27219205 0.
 0.00310434 0.         0.00439019 0.00439019 0.         0.10865177
 0.05840732 0.02634117 0.         0.00310434 0.         0.00439019
 0.08157481 0.         0.08381708 0.1127484  0.20194894 0.10293163
 0.09933876 0.00981677 0.07095554 0.04022418 0.00981677 0.19246885
 0.13069765 0.14048622 0.08329808 0.04966938 0.         0.05084345
 0.02521471 0.         0.20178185 0.07923184 0.13170583 0.07635657
 0.03725203 0.         0.01756078 0.0339951  0.         0.53084148
 0.06247356 0.00439019 0.         0.         0.         0.01317058
 0.07350685 0.00981677 0.00931301 0.         0.05707253 0.05146582
 0.06208673 0.00981677 0.06472647 0.0226634  0.         0.1707385
 0.14745594 0.09219408 0.         0.00620867 0.         0.00878039
 0.         0.         0.00620867 0.00981677 0.01756078 0.00694151
 0.00310434 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",3
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05217114 0.01876629 0.23935503
 0.16947139 0.13148313 0.05857561 0.02373769 0.         0.01561331
 0.03799342 0.         0.02175955 0.02394846 0.05595027 0.08328297
 0.04945352 0.         0.06199927 0.02328806 0.00625543 0.01780327
 0.00884651 0.02517762 0.00884651 0.03560653 0.         0.02771131
 0.11280849 0.00625543 0.03362839 0.01067869 0.01678508 0.01510194
 0.02769397 0.00625543 0.12048323 0.0917903  0.01251086 0.07516935
 0.09029731 0.20421848 0.03279497 0.03362839 0.         0.08086407
 0.0608275  0.00625543 0.08308191 0.03020389 0.06993784 0.05232018
 0.09495076 0.         0.09530561 0.207016   0.         0.02967211
 0.00625543 0.0615453  0.02394846 0.02769397 0.00625543 0.26569012
 0.02238011 0.         0.         0.         0.00279751 0.
 0.01384698 0.         0.05776617 0.33679971 0.02502172 0.10286332
 0.05415235 0.10630551 0.07885972 0.14044799 0.03127715 0.4119951
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.12210898 0.00625543 0.05736608
 0.0700132  0.21261103 0.0390504  0.06527865 0.00625543 0.07598684
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0839254  0.         0.01780327
 0.03538606 0.11749557 0.00625543 0.03560653 0.01251086 0.12256295
 0.29722336 0.01876629 0.10286332 0.01326977 0.02517762 0.01326977
 0.01186884 0.         0.12471634 0.         0.         0.03560653
 0.06818103 0.15666077 0.04789692 0.01384698 0.         0.        ]",0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05166113 0.         0.04163026
 0.06826459 0.15699754 0.04237635 0.04163026 0.01755286 0.04216725
 0.01962469 0.         0.01942745 0.01861762 0.28259556 0.18254086
 0.10268797 0.         0.04381125 0.         0.         0.03052886
 0.0832469  0.26689581 0.02482349 0.01387675 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.21056946 0.01755286 0.13876753
 0.19282309 0.07064889 0.09202333 0.12211543 0.02632929 0.19030784
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09154744 0.00877643 0.10823867
 0.1530173  0.1020484  0.11578206 0.08326051 0.00877643 0.08534157
 0.10979491 0.00877643 0.14154288 0.07083516 0.27082075 0.17527022
 0.16097033 0.00877643 0.11345307 0.02646749 0.         0.40242583
 0.10700563 0.02747457 0.         0.00277535 0.         0.00392494
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.21704212 0.00877643 0.18872384 0.17677603 0.03139951 0.02118817
 0.04440561 0.01755286 0.13472177 0.00392494 0.         0.11656473
 0.03723523 0.         0.         0.         0.         0.00784988]",5
"[0.         0.         0.00777403 0.01738327 0.051306   0.01158884
 0.00518269 0.         0.         0.06655956 0.         0.03627882
 0.04056096 0.30783605 0.09751101 0.0699663  0.0163891  0.06868927
 0.         0.         0.05700958 0.07433333 0.27118888 0.
 0.         0.         0.         0.03511214 0.0163891  0.20212487
 0.15785536 0.051306   0.         0.00518269 0.         0.03664715
 0.17402569 0.00819455 0.08810571 0.04635538 0.16124744 0.05454993
 0.08810571 0.00819455 0.15570212 0.01465886 0.         0.01036538
 0.01158884 0.00732943 0.01158884 0.01295672 0.         0.03511214
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.13881703 0.00819455 0.18916815
 0.13227756 0.04031186 0.         0.00777403 0.         0.03298243
 0.0744837  0.00819455 0.04923555 0.07433333 0.12460029 0.04296109
 0.05441823 0.00819455 0.06928397 0.         0.         0.07255764
 0.16224383 0.16124744 0.         0.         0.         0.
 0.16719445 0.04097275 0.37315361 0.03476653 0.07695901 0.06613878
 0.06737496 0.00819455 0.08914255 0.17298887 0.0163891  0.05960092
 0.         0.00732943 0.         0.00259134 0.         0.05863543
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.2029978  0.00819455 0.04146151
 0.         0.00366471 0.00819455 0.02591345 0.00819455 0.16090184
 0.14486056 0.02458365 0.35242285 0.00819455 0.02931772 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07096782 0.         0.27018007 0.03683787 0.12115122 0.06935991
 0.0461283  0.         0.00465966 0.07367573 0.01041932 0.22075688
 0.08283098 0.20036549 0.05894059 0.02965391 0.         0.
 0.11334422 0.         0.03294879 0.02947029 0.06523528 0.
 0.01317952 0.01041932 0.07997042 0.11680829 0.02083864 0.14167979
 0.21849905 0.17706717 0.         0.01317952 0.         0.06523527
 0.         0.         0.03624367 0.04725719 0.02329831 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11876004 0.01041932 0.07578221 0.09146262 0.0372773  0.03988962
 0.07248734 0.02083864 0.10478106 0.02329831 0.01041932 0.2339364
 0.38058564 0.372773   0.05157301 0.03624367 0.         0.04930454
 0.00931932 0.         0.07248734 0.0988302  0.15842852 0.06199233
 0.27676984 0.         0.00931932 0.15169441 0.02083864 0.16144906
 0.08714681 0.21900414 0.08714681 0.10543612 0.         0.0539642
 0.         0.         0.         0.         0.06523528 0.01041932
 0.00658976 0.         0.         0.         0.         0.00329488
 0.00736757 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01397899 0.         0.
 0.         0.         0.00736757 0.00658976 0.         0.00931932]",3
"[0.00384034 0.         0.08418136 0.20540975 0.14593278 0.
 0.00271553 0.         0.00768067 0.01152101 0.         0.10590558
 0.21755396 0.12289076 0.         0.00543106 0.         0.00768067
 0.1292239  0.01717451 0.13034534 0.17756437 0.33794959 0.08396766
 0.097759   0.00858725 0.1292239  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00271553
 0.0060721  0.         0.         0.         0.         0.
 0.10109515 0.02576176 0.22538881 0.35408695 0.24578152 0.03036052
 0.06245714 0.         0.13020927 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.06788819 0.15934807 0.19201681 0.01214421
 0.00543106 0.         0.00384034 0.05277934 0.         0.01900869
 0.01214421 0.24578154 0.12543059 0.05431056 0.         0.00991244
 0.09824018 0.00858725 0.02172422 0.01214421 0.02304202 0.15683291
 0.3991826  0.00858725 0.16923583 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09590326 0.00929627 0.06761402
 0.04216357 0.0831484  0.         0.00293974 0.         0.0415742
 0.         0.         0.         0.         0.28270458 0.10517534
 0.04703584 0.         0.         0.00415742 0.         0.00293974
 0.         0.01662968 0.13306416 0.06173454 0.         0.00415742
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.28810183 0.01859255 0.1910831
 0.04873703 0.03325936 0.         0.0146987  0.         0.19607341
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00415742 0.         0.
 0.         0.09146325 0.15006173 0.0587948  0.         0.00415742
 0.         0.         0.03233714 0.07230804 0.19124133 0.
 0.         0.         0.         0.09977809 0.         0.02057818
 0.02629383 0.16629681 0.         0.12052934 0.01859255 0.30046462
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11427432 0.00929627 0.05291532 0.08160431 0.27438974 0.06460676
 0.04115636 0.01859255 0.09281256 0.112925   0.         0.05291532
 0.06188394 0.3284362  0.13034134 0.12640882 0.02788882 0.1191064
 0.01662968 0.         0.05585506 0.12489571 0.21618585 0.04873703
 0.05585506 0.00929627 0.0505637  0.         0.         0.0293974
 0.06573459 0.33259362 0.         0.         0.         0.        ]",1
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00699495 0.         0.14591212
 0.08200105 0.01398989 0.         0.00247309 0.         0.00699495
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.15875913 0.00782059 0.17064298
 0.12718976 0.24832056 0.02441056 0.04698865 0.         0.13347152
 0.         0.         0.04946173 0.13730094 0.19585847 0.
 0.00247309 0.         0.         0.00349747 0.         0.13849285
 0.07647106 0.06994945 0.         0.         0.         0.00349747
 0.0300123  0.         0.00494617 0.00552999 0.01748736 0.00782059
 0.06924642 0.01564117 0.02008744 0.21008609 0.01564117 0.18795459
 0.26164433 0.44068156 0.07971045 0.08903112 0.         0.17747371
 0.08100943 0.         0.0370963  0.03317994 0.10492419 0.01658997
 0.02473087 0.         0.07547944 0.01748736 0.         0.34375905
 0.20500262 0.02098484 0.         0.00247309 0.         0.01748736
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07604701 0.         0.03956939
 0.0575905  0.26580792 0.01564117 0.05193482 0.02346176 0.06059216
 0.00349747 0.         0.04451556 0.12071099 0.20285341 0.01105998
 0.00741926 0.         0.00699495 0.00349747 0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
"[0.06249295 0.         0.06597995 0.01180285 0.         0.
 0.0052784  0.00834588 0.0475634  0.09078872 0.00834588 0.08445433
 0.11946044 0.23140817 0.         0.01319599 0.         0.07898587
 0.00746478 0.         0.06334075 0.10276869 0.15676036 0.
 0.0052784  0.         0.01492956 0.149099   0.05007526 0.08973273
 0.00590143 0.02612673 0.         0.00791759 0.         0.01492956
 0.07212677 0.         0.04750556 0.08750887 0.08211257 0.03684048
 0.03167037 0.02503763 0.05346482 0.02985912 0.01669175 0.15043428
 0.23748897 0.26873205 0.03540856 0.03167037 0.         0.0677887
 0.         0.         0.01319599 0.02950713 0.10450691 0.02950713
 0.01319599 0.         0.         0.30202868 0.04172938 0.1293207
 0.         0.00373239 0.         0.0052784  0.         0.08957735
 0.07585916 0.         0.06861915 0.         0.         0.02014873
 0.01319599 0.00834588 0.04912675 0.02890145 0.         0.10292872
 0.23301946 0.12316886 0.00834588 0.00791759 0.         0.01119717
 0.42717001 0.06676701 0.2744766  0.02950713 0.02612673 0.00590143
 0.01847439 0.         0.08645064 0.12115522 0.01669175 0.06597995
 0.         0.01119717 0.         0.0026392  0.         0.01492956
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.28467641 0.04172938 0.12668151 0.00834588 0.01492956 0.00834588
 0.03694877 0.01669175 0.14738025 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0133392  0.         0.00169002
 0.         0.         0.         0.         0.         0.
 0.06908606 0.         0.0659108  0.05447133 0.19359406 0.06359464
 0.06253076 0.01068863 0.04757561 0.01572925 0.00534431 0.01014012
 0.015116   0.047801   0.03779001 0.06084074 0.         0.03562536
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.20803388 0.01068863 0.19942245
 0.15520762 0.32504682 0.07649696 0.08957109 0.00534431 0.14495442
 0.14573012 0.01068863 0.10985134 0.09161297 0.30353637 0.15142861
 0.16224199 0.01068863 0.18258197 0.08064846 0.         0.03549043
 0.01668132 0.24139507 0.23326988 0.22984281 0.01068863 0.09376227
 0.0420198  0.         0.00169002 0.         0.         0.
 0.         0.         0.         0.16045828 0.01068863 0.08450103
 0.10672897 0.30592642 0.05447133 0.16562202 0.01603294 0.18674883
 0.0143403  0.00534431 0.01183014 0.02580463 0.07648161 0.02645301
 0.01690021 0.         0.0276795  0.0047801  0.         0.00169002
 0.         0.0239005  0.         0.0084501  0.         0.007558
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08604181 0.06580833 0.05070062 0.         0.
 0.01195025 0.         0.00676008 0.01668132 0.07648161 0.1098596
 0.10478128 0.01068863 0.02845521 0.01195025 0.         0.06084074
 0.11585228 0.07170151 0.03935533 0.02028025 0.         0.0095602 ]",3
