features,labels
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.08478195 0.00525614 0.07313401
 0.10496801 0.21155543 0.0074333  0.01495923 0.         0.04936293
 0.06635847 0.01576841 0.21109132 0.17213184 0.31733315 0.0297332
 0.03324273 0.         0.03799131 0.06203869 0.02628068 0.36234575
 0.18174231 0.05406417 0.         0.00831068 0.         0.04602774
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.24084528 0.00525614 0.14959228
 0.14893013 0.39255285 0.0916409  0.10637673 0.01576841 0.17995094
 0.04952271 0.01051227 0.08809323 0.11266545 0.11988141 0.02012274
 0.02493205 0.         0.05581165 0.08198797 0.01051227 0.12133596
 0.09753472 0.04701232 0.         0.00166214 0.         0.0141037
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00332427
 0.0074333  0.08462217 0.02601655 0.01163495 0.         0.
 0.2769034  0.04730523 0.17951074 0.         0.0446617  0.02755604
 0.02659418 0.00525614 0.10593749 0.03344985 0.00525614 0.01163495
 0.         0.00235062 0.         0.00166214 0.         0.00470123
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.06013143 0.         0.00166214
 0.         0.         0.         0.         0.         0.
 0.1594964  0.01051227 0.07645827 0.00525614 0.00705185 0.
 0.02493205 0.00525614 0.13042823 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09877921 0.         0.01976009
 0.00631213 0.0878271  0.20613428 0.27099554 0.0178534  0.10174704
 0.00399214 0.         0.01411435 0.02524852 0.25549705 0.11514991
 0.03669731 0.         0.00399214 0.03490495 0.         0.2455897
 0.18719791 0.11177995 0.01262426 0.00564574 0.         0.01596856
 0.10573918 0.         0.05928027 0.072048   0.07585068 0.05572617
 0.08750897 0.0178534  0.11205131 0.03992141 0.0178534  0.0564574
 0.0620383  0.29941058 0.08836981 0.11856054 0.         0.11604345
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.08745062 0.0089267  0.06774888 0.05942373 0.17166207 0.02155096
 0.09880046 0.0089267  0.06684208 0.07881851 0.0089267  0.07339462
 0.03156065 0.12375638 0.05680916 0.03105157 0.         0.07417853
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01197642 0.         0.36132736
 0.06943342 0.02395285 0.         0.00282287 0.         0.01197642
 0.10973132 0.         0.04516592 0.         0.         0.
 0.0282287  0.0089267  0.06851424 0.0166164  0.0089267  0.16090359
 0.2135294  0.20759134 0.03047766 0.00846861 0.         0.00399214
 0.01429641 0.         0.09033184 0.13038874 0.24352062 0.00631213
 0.02258296 0.         0.00798428 0.         0.         0.12420629
 0.10775479 0.00798428 0.         0.         0.         0.00399214]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01513358 0.         0.00575208 0.00428735 0.00542311 0.
 0.00191736 0.         0.00542311 0.18853044 0.01818968 0.13229789
 0.11177576 0.18167435 0.0421379  0.13421525 0.00606323 0.13935379
 0.05423115 0.         0.00766944 0.00428735 0.01084623 0.07288493
 0.10545484 0.00606323 0.0826668  0.19142632 0.04244259 0.30486035
 0.13498839 0.08134672 0.         0.01917361 0.         0.0465365
 0.00542311 0.         0.00191736 0.         0.         0.
 0.         0.00606323 0.00428735 0.26086244 0.04244259 0.17831454
 0.11961487 0.2738673  0.07821257 0.14380205 0.04244259 0.24660892
 0.14591267 0.01818968 0.15530622 0.08072403 0.13286632 0.08856314
 0.116959   0.01212645 0.1292033  0.29314543 0.01818968 0.31061244
 0.16144806 0.15184722 0.04464937 0.07669443 0.00606323 0.2186847 ]",0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01486465 0.         0.2890496
 0.14831992 0.0297293  0.         0.00262772 0.         0.01486465
 0.04459395 0.         0.00262772 0.         0.01114849 0.04599803
 0.11824756 0.01661918 0.12409206 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03992428 0.00830959 0.08671488 0.08125264 0.20810509 0.03525461
 0.02102179 0.         0.02229697 0.12996783 0.00830959 0.18131293
 0.02937884 0.01486465 0.         0.01576634 0.         0.03188891
 0.36659611 0.02492878 0.06306537 0.02350307 0.07060708 0.07881881
 0.24700602 0.04154796 0.56240349 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.05255447 0.14588608 0.19324044 0.01175154
 0.00788317 0.         0.         0.00371616 0.         0.00262772
 0.         0.06689092 0.14932803 0.06569309 0.         0.00371616
 0.28550046 0.05816714 0.14715251 0.00830959 0.02601314 0.00830959
 0.01313862 0.         0.05202627 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00525545
 0.         0.03716162 0.08125264 0.03941585 0.         0.
 0.02937884 0.00830959 0.03678813 0.00830959 0.03344546 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01388706 0.         0.07452578
 0.02083059 0.         0.         0.         0.         0.00439147
 0.02634884 0.         0.31673456 0.33378287 0.05269768 0.01388706
 0.00931572 0.         0.02195737 0.1382736  0.01963927 0.03726289
 0.00694353 0.02195737 0.01388706 0.04657861 0.00981963 0.1382736
 0.00878295 0.         0.40057605 0.22149508 0.07904652 0.
 0.00310524 0.         0.00878295 0.03216559 0.         0.25773498
 0.16307074 0.07465505 0.02370669 0.09626246 0.         0.02522206
 0.09619828 0.00981963 0.17078825 0.06943529 0.09661242 0.01388706
 0.02484193 0.         0.02634884 0.11049948 0.01963927 0.03105241
 0.05435691 0.01756589 0.06536787 0.09005198 0.00981963 0.18290097
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00439147 0.         0.18320921
 0.04453728 0.         0.         0.         0.         0.00439147
 0.10201502 0.00981963 0.18320921 0.20711455 0.14052715 0.
 0.00931572 0.         0.04391474 0.04901885 0.01963927 0.0155262
 0.01676316 0.         0.         0.00310524 0.         0.04391474
 0.         0.         0.07763102 0.14869021 0.25470547 0.
 0.00310524 0.         0.         0.00439147 0.         0.02794717
 0.08619845 0.20200778 0.01388706 0.00621048 0.         0.00439147
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.14233752 0.         0.07140265
 0.02456326 0.16311926 0.20668048 0.28011808 0.00868442 0.12228831
 0.00388379 0.         0.         0.         0.15535168 0.18825804
 0.14555154 0.         0.00388379 0.         0.         0.06591013
 0.14737954 0.20195718 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.12942564 0.00868442 0.06041762
 0.0429857  0.19418961 0.25940422 0.23343172 0.01736885 0.13330943
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.08238767
 0.11816548 0.10097859 0.         0.00823877 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.06891174 0.         0.08788018
 0.11307826 0.2485627  0.02096605 0.03570132 0.00868442 0.04109494
 0.28068898 0.06079096 0.15379031 0.         0.10486238 0.01842244
 0.09611895 0.00868442 0.17052058 0.07757356 0.03473769 0.16477533
 0.04552931 0.00388379 0.         0.00274626 0.         0.00388379
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.33758305 0.03473769 0.10985023 0.         0.02330275 0.
 0.02746256 0.00868442 0.14559106 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01680525 0.         0.15131245
 0.05371521 0.01615005 0.         0.00285495 0.         0.00403751
 0.05652516 0.         0.00285495 0.         0.02422507 0.00638387
 0.02854952 0.00902815 0.08375179 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03191933 0.00902815 0.08279361 0.         0.00403751 0.
 0.         0.         0.         0.31657252 0.0361126  0.49961659
 0.03191933 0.08478775 0.03456362 0.02569457 0.00902815 0.03230009
 0.11397996 0.00902815 0.06851885 0.09201841 0.1049753  0.02553547
 0.02283961 0.         0.08544294 0.01211254 0.         0.
 0.         0.01615005 0.03191933 0.02283961 0.         0.02891778
 0.17847382 0.0361126  0.1598773  0.05900378 0.12920037 0.03456362
 0.03425942 0.         0.04441263 0.06290903 0.00902815 0.01712971
 0.0191516  0.09690028 0.05107093 0.04567923 0.00902815 0.06760174
 0.08206063 0.         0.22268624 0.12813102 0.11708785 0.04997563
 0.08279361 0.0180563  0.05145169 0.08140543 0.02708445 0.07993865
 0.05371521 0.07267521 0.02553547 0.03425942 0.         0.11839824
 0.04337667 0.         0.08279361 0.06009908 0.01615005 0.
 0.         0.         0.02018756 0.         0.         0.01712971
 0.0383032  0.33915098 0.01276773 0.0057099  0.         0.
 0.1254373  0.0180563  0.09135846 0.11755388 0.33511347 0.03191933
 0.04853418 0.         0.12647326 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.08161182 0.01337007 0.20928537
 0.11851178 0.04783422 0.05395537 0.05707783 0.         0.00597928
 0.06924684 0.         0.00634198 0.         0.00298964 0.03504724
 0.10781368 0.00668504 0.09413425 0.00298964 0.         0.03805189
 0.03977427 0.03587566 0.02086614 0.01268396 0.00668504 0.02315002
 0.32793569 0.06016531 0.22619732 0.14883199 0.39164266 0.04841731
 0.13106761 0.00668504 0.251818   0.13195053 0.02674014 0.16066352
 0.         0.05979277 0.04369027 0.03805189 0.         0.08294279
 0.07474096 0.00668504 0.10358569 0.17996321 0.20329542 0.03504724
 0.08878774 0.         0.12152615 0.1227784  0.01337007 0.15220755
 0.0748215  0.19432651 0.03781627 0.07610377 0.00668504 0.11158693
 0.02961444 0.         0.12472563 0.08623358 0.09865807 0.
 0.         0.         0.00896892 0.02092747 0.         0.16277752
 0.22723355 0.00597928 0.         0.00211399 0.         0.02092747
 0.0425433  0.         0.17757548 0.02282414 0.00896892 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00896892 0.         0.11626966 0.18273225 0.0777306  0.
 0.00422799 0.         0.00896892 0.00298964 0.         0.02536793
 0.0141811  0.         0.         0.         0.         0.00298964
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",2
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02173718 0.04860581 0.11418092 0.01388738
 0.00621062 0.         0.         0.         0.         0.
 0.         0.05269888 0.03471844 0.01552656 0.         0.
 0.10314416 0.         0.06521154 0.01388738 0.07904833 0.02777475
 0.01552656 0.         0.05269888 0.         0.         0.
 0.         0.23714498 0.15970481 0.07142216 0.         0.
 0.26919567 0.02945957 0.17389744 0.10990765 0.03513259 0.00694369
 0.02173718 0.         0.19026298 0.00878315 0.         0.00310531
 0.         0.08783147 0.26603843 0.10868591 0.         0.00878315
 0.03952416 0.         0.00310531 0.         0.00878315 0.08213291
 0.12421246 0.01963971 0.05851577 0.         0.         0.06210623
 0.09314411 0.21079554 0.24183772 0.12731777 0.         0.
 0.00878315 0.         0.02173718 0.02083106 0.07026518 0.03759461
 0.0279478  0.         0.04023682 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.12836679 0.00981986 0.0807381  0.         0.00439157 0.00694369
 0.04968498 0.01963971 0.07608206 0.         0.         0.06521154
 0.17646836 0.43915737 0.05842567 0.02484249 0.         0.
 0.         0.         0.04036905 0.10703148 0.28106072 0.02777475
 0.01552656 0.         0.         0.         0.         0.07142216
 0.13480624 0.27227757 0.         0.00310531 0.         0.        ]",2
"[0.06558263 0.         0.02530698 0.03174298 0.02385965 0.
 0.01518419 0.00533518 0.03994921 0.05903694 0.00533518 0.02361985
 0.02419789 0.14792985 0.17380506 0.23113713 0.01067036 0.06280948
 0.00238597 0.         0.         0.         0.14315793 0.02419789
 0.15521617 0.         0.00238597 0.00477193 0.         0.0573625
 0.13139172 0.08589475 0.         0.00337426 0.         0.00238597
 0.0679686  0.         0.14003198 0.07324095 0.17656144 0.07571896
 0.09110514 0.02134072 0.03756325 0.15147739 0.01067036 0.0944794
 0.11942682 0.3101755  0.15429508 0.13159632 0.00533518 0.18288213
 0.04410895 0.01067036 0.05567537 0.05750351 0.09066668 0.03174298
 0.03880404 0.00533518 0.03040535 0.02124868 0.         0.16871323
 0.06661123 0.07873686 0.02797044 0.01180993 0.         0.00238597
 0.06874297 0.00533518 0.13834485 0.1103191  0.06680703 0.01665281
 0.00674853 0.         0.03578948 0.07051674 0.01600554 0.25306984
 0.35165076 0.35073691 0.04904305 0.03374265 0.         0.04671992
 0.00615851 0.00533518 0.09785367 0.01665281 0.02624562 0.05594087
 0.10628933 0.         0.02424684 0.05565158 0.         0.12484779
 0.06348595 0.10498248 0.04462325 0.08435661 0.01067036 0.04310956
 0.03994921 0.00533518 0.01687132 0.03174298 0.04056141 0.02042535
 0.03374265 0.00533518 0.02424684 0.00238597 0.         0.03036838
 0.05658814 0.06442107 0.01131763 0.01518419 0.         0.
 0.         0.         0.         0.00377254 0.         0.
 0.01012279 0.         0.01231702 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
